Pittsburgh SanFrancisco
Boston NewYork 213
Buffalo Cleveland 192
Chicago Indianapolis 189
Cleveland Detroit 175
Dallas Houston 242
Denver Omaha 559
Detroit Chicago 279
ElPaso Dallas 625
Houston NewOrleans 365
Indianapolis St.Louis 239
KansasCity St.Louis 255
LosAngeles Phoenix 398
Louisville Indianapolis 114
Memphis Birmingham 249
Miami Birmingham 777
Minneapolis Omaha 373
NewOrleans Birmingham 347
NewYork Philadelphia 93
Omaha KansasCity 204
Philadelphia Washington 140
Phoenix ElPaso 402
Pittsburgh Cleveland 131
St.Louis Memphis 295
SaltLakeCity Denver 512
SanFrancisco LosAngeles 403
Seattle SanFrancisco 817
Washington Pittsburgh 241
Birmingham Louisville 897
Boston Philadelphia 306
Buffalo Detroit  367
Buffalo Philadelphia 704
Buffalo Pittsburgh 219
Buffalo Washington  564
Chicago Cleveland  500
Chicago St.Louis  428
Cleveland Indianapolis  647
Cleveland Louisville  757
Cleveland Washington  372
Detroit Indianapolis  468
Detroit Louisville  582
Detroit Pittsburgh  350
Louisville Memphis  648
Louisville St.Louis 353
NewYork Pittsburgh 474
NewYork Washington 233
Philadelphia Pittsburgh 381
